parsed_smell,parsed_smell_identifiers,message
"
		25 FieldDeclaration
			25 VariableDeclaration
				25 IdentifierName
				25 VariableDeclarator
","
		25 FieldDeclaration
			25 VariableDeclaration
				25 IdentifierName KubernetesClientConfiguration
				25 VariableDeclarator",Remove
"
						74 LocalDeclarationStatement
							74 VariableDeclaration
								74 NullableType
									74 IdentifierName
								74 VariableDeclarator
									74 EqualsValueClause
										74 AwaitExpression
											74 InvocationExpression
												74 SimpleMemberAccessExpression
													74 InvocationExpression
														74 SimpleMemberAccessExpression
															74 SimpleMemberAccessExpression
																74 IdentifierName
																74 IdentifierName
															74 IdentifierName
														74 ArgumentList
													74 IdentifierName
												74 ArgumentList
													74 Argument
														74 FalseLiteralExpression
","
						74 LocalDeclarationStatement
							74 VariableDeclaration
								74 NullableType
									74 IdentifierName V1NodeList
								74 VariableDeclarator
									74 EqualsValueClause
										74 AwaitExpression
											74 InvocationExpression
												74 SimpleMemberAccessExpression
													74 InvocationExpression
														74 SimpleMemberAccessExpression
															74 SimpleMemberAccessExpression
																74 IdentifierName _kubernetesClient
																74 IdentifierName CoreV1
															74 IdentifierName ListNodeAsync
														74 ArgumentList
													74 IdentifierName ConfigureAwait
												74 ArgumentList
													74 Argument
														74 FalseLiteralExpression",Refactor
"
	16 ClassDeclaration
		16 BaseList
			16 SimpleBaseType
				16 IdentifierName
","
	16 ClassDeclaration
		16 BaseList
			16 SimpleBaseType
				16 IdentifierName IK8sEnvironmentFactory",Rename
"
		19 FieldDeclaration
			19 VariableDeclaration
				19 IdentifierName
				19 VariableDeclarator
","
		19 FieldDeclaration
			19 VariableDeclaration
				19 IdentifierName IContainerIdHolder
				19 VariableDeclarator",Remove
"
	9 ClassDeclaration
		9 BaseList
			9 SimpleBaseType
				9 IdentifierName
","
	9 ClassDeclaration
		9 BaseList
			9 SimpleBaseType
				9 IdentifierName IK8sEnvironmentFetcher",Rename
"
	5 ClassDeclaration
		5 BaseList
			5 SimpleBaseType
				5 IdentifierName
","
	5 ClassDeclaration
		5 BaseList
			5 SimpleBaseType
				5 IdentifierName IK8sEnvironmentHolder",Rename
"
	10 ClassDeclaration
		10 BaseList
			10 SimpleBaseType
				10 IdentifierName
","
	10 ClassDeclaration
		10 BaseList
			10 SimpleBaseType
				10 IdentifierName BackgroundService",Rename
"
	9 ClassDeclaration
		9 BaseList
			9 SimpleBaseType
				9 IdentifierName
","
	9 ClassDeclaration
		9 BaseList
			9 SimpleBaseType
				9 IdentifierName IK8sInfoBootstrap",Rename
"
		71 MethodDeclaration
			71 PredefinedType
			71 ParameterList
				71 Parameter
					71 IdentifierName
","
		71 MethodDeclaration
			71 PredefinedType
			71 ParameterList
				71 Parameter
					71 IdentifierName CancellationToken",Deficient
"
	7 ClassDeclaration
		7 BaseList
			7 SimpleBaseType
				7 IdentifierName
","
	7 ClassDeclaration
		7 BaseList
			7 SimpleBaseType
				7 IdentifierName IK8sInfoService",Rename
"
	6 ClassDeclaration
		6 BaseList
			6 SimpleBaseType
				6 IdentifierName
","
	6 ClassDeclaration
		6 BaseList
			6 SimpleBaseType
				6 IdentifierName IK8sInfoService",Rename
"
		13 ConstructorDeclaration
			13 ParameterList
				13 Parameter
					13 PredefinedType
","
		13 ConstructorDeclaration
			13 ParameterList
				13 Parameter
					13 PredefinedType",Adjustment
"
				39 ReturnStatement
					39 InvocationExpression
						39 SimpleMemberAccessExpression
							39 IdentifierName
							39 IdentifierName
						39 ArgumentList
							39 Argument
								39 IdentifierName
							39 Argument
								39 NameColon
									39 IdentifierName
								39 SimpleMemberAccessExpression
									39 IdentifierName
									39 IdentifierName
","
				39 ReturnStatement
					39 InvocationExpression
						39 SimpleMemberAccessExpression
							39 IdentifierName _telemetryKeyCache
							39 IdentifierName GetOrAdd
						39 ArgumentList
							39 Argument
								39 IdentifierName originalKey
							39 Argument
								39 NameColon
									39 IdentifierName valueFactory
								39 SimpleMemberAccessExpression
									39 IdentifierName _options
									39 IdentifierName TelemetryKeyProcessor",Deficient
"
	6 ClassDeclaration
","
	6 ClassDeclaration",Rename
"
	5 ClassDeclaration
","
	5 ClassDeclaration",Rename
"
				28 LocalDeclarationStatement
					28 VariableDeclaration
						28 IdentifierName
						28 VariableDeclarator
							28 EqualsValueClause
								28 SimpleMemberAccessExpression
									28 InvocationExpression
										28 SimpleMemberAccessExpression
											28 IdentifierName
											28 IdentifierName
										28 ArgumentList
									28 IdentifierName
","
				28 LocalDeclarationStatement
					28 VariableDeclaration
						28 IdentifierName Version
						28 VariableDeclarator
							28 EqualsValueClause
								28 SimpleMemberAccessExpression
									28 InvocationExpression
										28 SimpleMemberAccessExpression
											28 IdentifierName assembly
											28 IdentifierName GetName
										28 ArgumentList
									28 IdentifierName Version",Refactor
"
				29 ReturnStatement
					29 InvocationExpression
						29 SimpleMemberAccessExpression
							29 IdentifierName
							29 IdentifierName
						29 ArgumentList
","
				29 ReturnStatement
					29 InvocationExpression
						29 SimpleMemberAccessExpression
							29 IdentifierName version
							29 IdentifierName ToString
						29 ArgumentList",Refactor
"
												30 ExpressionStatement
													30 AwaitExpression
														30 InvocationExpression
															30 SimpleMemberAccessExpression
																30 IdentifierName
																30 IdentifierName
															30 ArgumentList
																30 Argument
																	30 IdentifierName
","
												30 ExpressionStatement
													30 AwaitExpression
														30 InvocationExpression
															30 SimpleMemberAccessExpression
																30 IdentifierName Task
																30 IdentifierName Delay
															30 ArgumentList
																30 Argument
																	30 IdentifierName timeout",Refactor
"
												32 ExpressionStatement
													32 AwaitExpression
														32 InvocationExpression
															32 SimpleMemberAccessExpression
																32 IdentifierName
																32 IdentifierName
															32 ArgumentList
																32 Argument
																	32 InvocationExpression
																		32 SimpleMemberAccessExpression
																			32 IdentifierName
																			32 IdentifierName
																		32 ArgumentList
																			32 Argument
																				32 NumericLiteralExpression
","
												32 ExpressionStatement
													32 AwaitExpression
														32 InvocationExpression
															32 SimpleMemberAccessExpression
																32 IdentifierName Task
																32 IdentifierName Delay
															32 ArgumentList
																32 Argument
																	32 InvocationExpression
																		32 SimpleMemberAccessExpression
																			32 IdentifierName TimeSpan
																			32 IdentifierName FromSeconds
																		32 ArgumentList
																			32 Argument
																				32 NumericLiteralExpression",Refactor
"
												71 ExpressionStatement
													71 AwaitExpression
														71 InvocationExpression
															71 SimpleMemberAccessExpression
																71 IdentifierName
																71 IdentifierName
															71 ArgumentList
																71 Argument
																	71 IdentifierName
","
												71 ExpressionStatement
													71 AwaitExpression
														71 InvocationExpression
															71 SimpleMemberAccessExpression
																71 IdentifierName Task
																71 IdentifierName Delay
															71 ArgumentList
																71 Argument
																	71 IdentifierName timeout",Refactor
"
												73 ExpressionStatement
													73 AwaitExpression
														73 InvocationExpression
															73 SimpleMemberAccessExpression
																73 IdentifierName
																73 IdentifierName
															73 ArgumentList
																73 Argument
																	73 InvocationExpression
																		73 SimpleMemberAccessExpression
																			73 IdentifierName
																			73 IdentifierName
																		73 ArgumentList
																			73 Argument
																				73 NumericLiteralExpression
","
												73 ExpressionStatement
													73 AwaitExpression
														73 InvocationExpression
															73 SimpleMemberAccessExpression
																73 IdentifierName Task
																73 IdentifierName Delay
															73 ArgumentList
																73 Argument
																	73 InvocationExpression
																		73 SimpleMemberAccessExpression
																			73 IdentifierName TimeSpan
																			73 IdentifierName FromSeconds
																		73 ArgumentList
																			73 Argument
																				73 NumericLiteralExpression",Refactor
"
													57 ExpressionStatement
														57 InvocationExpression
															57 SimpleMemberAccessExpression
																57 ParenthesizedExpression
																	57 CastExpression
																		57 IdentifierName
																		57 IdentifierName
																57 IdentifierName
															57 ArgumentList
","
													57 ExpressionStatement
														57 InvocationExpression
															57 SimpleMemberAccessExpression
																57 ParenthesizedExpression
																	57 CastExpression
																		57 IdentifierName IK8sInfoBootstrap
																		57 IdentifierName target
																57 IdentifierName Run
															57 ArgumentList",Refactor
"
			78 PredefinedType
			78 ParameterList
","
			78 PredefinedType
			78 ParameterList",Deficient
"
				148 LocalDeclarationStatement
					148 VariableDeclaration
						148 IdentifierName
						148 VariableDeclarator
							148 EqualsValueClause
								148 ObjectCreationExpression
									148 IdentifierName
									148 ArgumentList
										148 Argument
											148 SimpleMemberAccessExpression
												148 IdentifierName
												148 IdentifierName
										148 Argument
											148 SimpleMemberAccessExpression
												148 IdentifierName
												148 IdentifierName
										148 Argument
											148 ArrayCreationExpression
												148 ArrayType
													148 IdentifierName
													148 ArrayRankSpecifier
														148 OmittedArraySizeExpression
												148 ArrayInitializerExpression
","
				148 LocalDeclarationStatement
					148 VariableDeclaration
						148 IdentifierName PodInfoManager
						148 VariableDeclarator
							148 EqualsValueClause
								148 ObjectCreationExpression
									148 IdentifierName PodInfoManager
									148 ArgumentList
										148 Argument
											148 SimpleMemberAccessExpression
												148 IdentifierName k8sQueryClientMock
												148 IdentifierName Object
										148 Argument
											148 SimpleMemberAccessExpression
												148 IdentifierName containerIdHolderMock
												148 IdentifierName Object
										148 Argument
											148 ArrayCreationExpression
												148 ArrayType
													148 IdentifierName IPodNameProvider
													148 ArrayRankSpecifier
														148 OmittedArraySizeExpression
												148 ArrayInitializerExpression",Deficient
"
				173 LocalDeclarationStatement
					173 VariableDeclaration
						173 IdentifierName
						173 VariableDeclarator
							173 EqualsValueClause
								173 ObjectCreationExpression
									173 IdentifierName
									173 ArgumentList
										173 Argument
											173 SimpleMemberAccessExpression
												173 IdentifierName
												173 IdentifierName
										173 Argument
											173 SimpleMemberAccessExpression
												173 IdentifierName
												173 IdentifierName
										173 Argument
											173 ArrayCreationExpression
												173 ArrayType
													173 IdentifierName
													173 ArrayRankSpecifier
														173 OmittedArraySizeExpression
												173 ArrayInitializerExpression
","
				173 LocalDeclarationStatement
					173 VariableDeclaration
						173 IdentifierName PodInfoManager
						173 VariableDeclarator
							173 EqualsValueClause
								173 ObjectCreationExpression
									173 IdentifierName PodInfoManager
									173 ArgumentList
										173 Argument
											173 SimpleMemberAccessExpression
												173 IdentifierName k8sQueryClientMock
												173 IdentifierName Object
										173 Argument
											173 SimpleMemberAccessExpression
												173 IdentifierName containerIdHolderMock
												173 IdentifierName Object
										173 Argument
											173 ArrayCreationExpression
												173 ArrayType
													173 IdentifierName IPodNameProvider
													173 ArrayRankSpecifier
														173 OmittedArraySizeExpression
												173 ArrayInitializerExpression",Deficient
"
						59 LocalDeclarationStatement
							59 VariableDeclaration
								59 IdentifierName
								59 VariableDeclarator
									59 EqualsValueClause
										59 InvocationExpression
											59 SimpleMemberAccessExpression
												59 IdentifierName
												59 IdentifierName
											59 ArgumentList
												59 Argument
													59 NameColon
														59 IdentifierName
													59 StringLiteralExpression
												59 Argument
													59 NameColon
														59 IdentifierName
													59 StringLiteralExpression
","
						59 LocalDeclarationStatement
							59 VariableDeclaration
								59 IdentifierName var
								59 VariableDeclarator
									59 EqualsValueClause
										59 InvocationExpression
											59 SimpleMemberAccessExpression
												59 IdentifierName client
												59 IdentifierName AutoSuggestMethod
											59 ArgumentList
												59 Argument
													59 NameColon
														59 IdentifierName query
													59 StringLiteralExpression
												59 Argument
													59 NameColon
														59 IdentifierName market
													59 StringLiteralExpression",Remove
"
								23 LocalDeclarationStatement
									23 VariableDeclaration
										23 IdentifierName
										23 VariableDeclarator
											23 EqualsValueClause
												23 InvocationExpression
													23 SimpleMemberAccessExpression
														23 InvocationExpression
															23 SimpleMemberAccessExpression
																23 SimpleMemberAccessExpression
																	23 SimpleMemberAccessExpression
																		23 IdentifierName
																		23 IdentifierName
																	23 IdentifierName
																23 IdentifierName
															23 ArgumentList
																23 Argument
																	23 SimpleLambdaExpression
																		23 Parameter
																		23 EqualsExpression
																			23 SimpleMemberAccessExpression
																				23 SimpleMemberAccessExpression
																					23 IdentifierName
																					23 IdentifierName
																				23 IdentifierName
																			23 SimpleMemberAccessExpression
																				23 IdentifierName
																				23 IdentifierName
														23 IdentifierName
													23 ArgumentList
","
								23 LocalDeclarationStatement
									23 VariableDeclaration
										23 IdentifierName var
										23 VariableDeclarator
											23 EqualsValueClause
												23 InvocationExpression
													23 SimpleMemberAccessExpression
														23 InvocationExpression
															23 SimpleMemberAccessExpression
																23 SimpleMemberAccessExpression
																	23 SimpleMemberAccessExpression
																		23 IdentifierName entityData
																		23 IdentifierName Entities
																	23 IdentifierName Value
																23 IdentifierName Where
															23 ArgumentList
																23 Argument
																	23 SimpleLambdaExpression
																		23 Parameter
																		23 EqualsExpression
																			23 SimpleMemberAccessExpression
																				23 SimpleMemberAccessExpression
																					23 IdentifierName thing
																					23 IdentifierName EntityPresentationInfo
																				23 IdentifierName EntityScenario
																			23 SimpleMemberAccessExpression
																				23 IdentifierName EntityScenario
																				23 IdentifierName DominantEntity
														23 IdentifierName FirstOrDefault
													23 ArgumentList",Refactor
"
								58 LocalDeclarationStatement
									58 VariableDeclaration
										58 IdentifierName
										58 VariableDeclarator
											58 EqualsValueClause
												58 InvocationExpression
													58 SimpleMemberAccessExpression
														58 InvocationExpression
															58 SimpleMemberAccessExpression
																58 SimpleMemberAccessExpression
																	58 SimpleMemberAccessExpression
																		58 IdentifierName
																		58 IdentifierName
																	58 IdentifierName
																58 IdentifierName
															58 ArgumentList
																58 Argument
																	58 SimpleLambdaExpression
																		58 Parameter
																		58 EqualsExpression
																			58 SimpleMemberAccessExpression
																				58 SimpleMemberAccessExpression
																					58 IdentifierName
																					58 IdentifierName
																				58 IdentifierName
																			58 SimpleMemberAccessExpression
																				58 IdentifierName
																				58 IdentifierName
														58 IdentifierName
													58 ArgumentList
","
								58 LocalDeclarationStatement
									58 VariableDeclaration
										58 IdentifierName var
										58 VariableDeclarator
											58 EqualsValueClause
												58 InvocationExpression
													58 SimpleMemberAccessExpression
														58 InvocationExpression
															58 SimpleMemberAccessExpression
																58 SimpleMemberAccessExpression
																	58 SimpleMemberAccessExpression
																		58 IdentifierName entityData
																		58 IdentifierName Entities
																	58 IdentifierName Value
																58 IdentifierName Where
															58 ArgumentList
																58 Argument
																	58 SimpleLambdaExpression
																		58 Parameter
																		58 EqualsExpression
																			58 SimpleMemberAccessExpression
																				58 SimpleMemberAccessExpression
																					58 IdentifierName thing
																					58 IdentifierName EntityPresentationInfo
																				58 IdentifierName EntityScenario
																			58 SimpleMemberAccessExpression
																				58 IdentifierName EntityScenario
																				58 IdentifierName DominantEntity
														58 IdentifierName FirstOrDefault
													58 ArgumentList",Refactor
"
								114 LocalDeclarationStatement
									114 VariableDeclaration
										114 IdentifierName
										114 VariableDeclarator
											114 EqualsValueClause
												114 AsExpression
													114 InvocationExpression
														114 SimpleMemberAccessExpression
															114 SimpleMemberAccessExpression
																114 SimpleMemberAccessExpression
																	114 IdentifierName
																	114 IdentifierName
																114 IdentifierName
															114 IdentifierName
														114 ArgumentList
													114 IdentifierName
","
								114 LocalDeclarationStatement
									114 VariableDeclaration
										114 IdentifierName var
										114 VariableDeclarator
											114 EqualsValueClause
												114 AsExpression
													114 InvocationExpression
														114 SimpleMemberAccessExpression
															114 SimpleMemberAccessExpression
																114 SimpleMemberAccessExpression
																	114 IdentifierName entityData
																	114 IdentifierName Places
																114 IdentifierName Value
															114 IdentifierName FirstOrDefault
														114 ArgumentList
													114 IdentifierName Place",Remove
"
												157 LocalDeclarationStatement
													157 VariableDeclaration
														157 IdentifierName
														157 VariableDeclarator
															157 EqualsValueClause
																157 AsExpression
																	157 IdentifierName
																	157 IdentifierName
","
												157 LocalDeclarationStatement
													157 VariableDeclaration
														157 IdentifierName var
														157 VariableDeclarator
															157 EqualsValueClause
																157 AsExpression
																	157 IdentifierName item
																	157 IdentifierName Place",Remove
"
						194 LocalDeclarationStatement
							194 VariableDeclaration
								194 IdentifierName
								194 VariableDeclarator
									194 EqualsValueClause
										194 InvocationExpression
											194 SimpleMemberAccessExpression
												194 SimpleMemberAccessExpression
													194 IdentifierName
													194 IdentifierName
												194 IdentifierName
											194 ArgumentList
												194 Argument
													194 NameColon
														194 IdentifierName
													194 StringLiteralExpression
												194 Argument
													194 NameColon
														194 IdentifierName
													194 StringLiteralExpression
","
						194 LocalDeclarationStatement
							194 VariableDeclaration
								194 IdentifierName var
								194 VariableDeclarator
									194 EqualsValueClause
										194 InvocationExpression
											194 SimpleMemberAccessExpression
												194 SimpleMemberAccessExpression
													194 IdentifierName client
													194 IdentifierName Entities
												194 IdentifierName Search
											194 ArgumentList
												194 Argument
													194 NameColon
														194 IdentifierName query
													194 StringLiteralExpression
												194 Argument
													194 NameColon
														194 IdentifierName market
													194 StringLiteralExpression",Remove
"
									207 IfStatement
										207 EqualsExpression
											207 SimpleMemberAccessExpression
												207 ElementAccessExpression
													207 SimpleMemberAccessExpression
														207 IdentifierName
														207 IdentifierName
													207 BracketedArgumentList
														207 Argument
															207 NumericLiteralExpression
												207 IdentifierName
											207 SimpleMemberAccessExpression
												207 IdentifierName
												207 IdentifierName
","
									207 IfStatement
										207 EqualsExpression
											207 SimpleMemberAccessExpression
												207 ElementAccessExpression
													207 SimpleMemberAccessExpression
														207 IdentifierName issue
														207 IdentifierName Errors
													207 BracketedArgumentList
														207 Argument
															207 NumericLiteralExpression
												207 IdentifierName SubCode
											207 SimpleMemberAccessExpression
												207 IdentifierName ErrorSubCode
												207 IdentifierName ParameterInvalidValue",Refactor
"
						66 LocalDeclarationStatement
							66 VariableDeclaration
								66 IdentifierName
								66 VariableDeclarator
									66 EqualsValueClause
										66 SimpleMemberAccessExpression
											66 InvocationExpression
												66 SimpleMemberAccessExpression
													66 IdentifierName
													66 IdentifierName
												66 ArgumentList
													66 Argument
														66 NameColon
															66 IdentifierName
														66 StringLiteralExpression
													66 Argument
														66 NameColon
															66 IdentifierName
														66 StringLiteralExpression
											66 IdentifierName
","
						66 LocalDeclarationStatement
							66 VariableDeclaration
								66 IdentifierName var
								66 VariableDeclarator
									66 EqualsValueClause
										66 SimpleMemberAccessExpression
											66 InvocationExpression
												66 SimpleMemberAccessExpression
													66 IdentifierName client
													66 IdentifierName SpellCheckerAsync
												66 ArgumentList
													66 Argument
														66 NameColon
															66 IdentifierName text
														66 StringLiteralExpression
													66 Argument
														66 NameColon
															66 IdentifierName mode
														66 StringLiteralExpression
											66 IdentifierName Result",Remove
"
						150 LocalDeclarationStatement
							150 VariableDeclaration
								150 IdentifierName
								150 VariableDeclarator
									150 EqualsValueClause
										150 StringLiteralExpression
","
						150 LocalDeclarationStatement
							150 VariableDeclaration
								150 IdentifierName var
								150 VariableDeclarator
									150 EqualsValueClause
										150 StringLiteralExpression",Refactor
"
		62 MethodDeclaration
			62 IdentifierName
			62 ParameterList
","
		62 MethodDeclaration
			62 IdentifierName ValueTask
			62 ParameterList",Adjustment
"
		8 FieldDeclaration
			8 VariableDeclaration
				8 NullableType
					8 GenericName
						8 TypeArgumentList
							8 IdentifierName
							8 IdentifierName
				8 VariableDeclarator
","
		8 FieldDeclaration
			8 VariableDeclaration
				8 NullableType
					8 GenericName
						8 TypeArgumentList
							8 IdentifierName Theme
							8 IdentifierName Task
				8 VariableDeclarator",Adjustment
"
				19 SetAccessorDeclaration
					19 ArrowExpressionClause
						19 ConditionalAccessExpression
							19 IdentifierName
							19 InvocationExpression
								19 MemberBindingExpression
									19 IdentifierName
								19 ArgumentList
									19 Argument
										19 SimpleAssignmentExpression
											19 IdentifierName
											19 IdentifierName
","
				19 SetAccessorDeclaration
					19 ArrowExpressionClause
						19 ConditionalAccessExpression
							19 IdentifierName EpisodeChanged
							19 InvocationExpression
								19 MemberBindingExpression
									19 IdentifierName Invoke
								19 ArgumentList
									19 Argument
										19 SimpleAssignmentExpression
											19 IdentifierName _episode
											19 IdentifierName value",Refactor
"
				26 SetAccessorDeclaration
					26 ArrowExpressionClause
						26 ConditionalAccessExpression
							26 IdentifierName
							26 InvocationExpression
								26 MemberBindingExpression
									26 IdentifierName
								26 ArgumentList
									26 Argument
										26 SimpleAssignmentExpression
											26 IdentifierName
											26 IdentifierName
","
				26 SetAccessorDeclaration
					26 ArrowExpressionClause
						26 ConditionalAccessExpression
							26 IdentifierName PlayingChanged
							26 InvocationExpression
								26 MemberBindingExpression
									26 IdentifierName Invoke
								26 ArgumentList
									26 Argument
										26 SimpleAssignmentExpression
											26 IdentifierName _isPlaying
											26 IdentifierName value",Refactor
"
				33 SetAccessorDeclaration
					33 ArrowExpressionClause
						33 ConditionalAccessExpression
							33 IdentifierName
							33 InvocationExpression
								33 MemberBindingExpression
									33 IdentifierName
								33 ArgumentList
									33 Argument
										33 SimpleAssignmentExpression
											33 IdentifierName
											33 IdentifierName
","
				33 SetAccessorDeclaration
					33 ArrowExpressionClause
						33 ConditionalAccessExpression
							33 IdentifierName MutedChanged
							33 InvocationExpression
								33 MemberBindingExpression
									33 IdentifierName Invoke
								33 ArgumentList
									33 Argument
										33 SimpleAssignmentExpression
											33 IdentifierName _isMuted
											33 IdentifierName value",Refactor
"
				40 SetAccessorDeclaration
					40 ArrowExpressionClause
						40 ConditionalAccessExpression
							40 IdentifierName
							40 InvocationExpression
								40 MemberBindingExpression
									40 IdentifierName
								40 ArgumentList
									40 Argument
										40 SimpleAssignmentExpression
											40 IdentifierName
											40 IdentifierName
","
				40 SetAccessorDeclaration
					40 ArrowExpressionClause
						40 ConditionalAccessExpression
							40 IdentifierName VolumeChanged
							40 InvocationExpression
								40 MemberBindingExpression
									40 IdentifierName Invoke
								40 ArgumentList
									40 Argument
										40 SimpleAssignmentExpression
											40 IdentifierName _volume
											40 IdentifierName value",Refactor
"
				47 SetAccessorDeclaration
					47 ArrowExpressionClause
						47 ConditionalAccessExpression
							47 IdentifierName
							47 InvocationExpression
								47 MemberBindingExpression
									47 IdentifierName
								47 ArgumentList
									47 Argument
										47 SimpleAssignmentExpression
											47 IdentifierName
											47 IdentifierName
","
				47 SetAccessorDeclaration
					47 ArrowExpressionClause
						47 ConditionalAccessExpression
							47 IdentifierName DurationChanged
							47 InvocationExpression
								47 MemberBindingExpression
									47 IdentifierName Invoke
								47 ArgumentList
									47 Argument
										47 SimpleAssignmentExpression
											47 IdentifierName _duration
											47 IdentifierName value",Refactor
"
				54 SetAccessorDeclaration
					54 ArrowExpressionClause
						54 ConditionalAccessExpression
							54 IdentifierName
							54 InvocationExpression
								54 MemberBindingExpression
									54 IdentifierName
								54 ArgumentList
									54 Argument
										54 SimpleAssignmentExpression
											54 IdentifierName
											54 IdentifierName
","
				54 SetAccessorDeclaration
					54 ArrowExpressionClause
						54 ConditionalAccessExpression
							54 IdentifierName CurrentTimeChanged
							54 InvocationExpression
								54 MemberBindingExpression
									54 IdentifierName Invoke
								54 ArgumentList
									54 Argument
										54 SimpleAssignmentExpression
											54 IdentifierName _currentTime
											54 IdentifierName value",Refactor
"
				61 SetAccessorDeclaration
					61 ArrowExpressionClause
						61 ConditionalAccessExpression
							61 IdentifierName
							61 InvocationExpression
								61 MemberBindingExpression
									61 IdentifierName
								61 ArgumentList
									61 Argument
										61 SimpleAssignmentExpression
											61 IdentifierName
											61 IdentifierName
","
				61 SetAccessorDeclaration
					61 ArrowExpressionClause
						61 ConditionalAccessExpression
							61 IdentifierName PlaybackRateChanged
							61 InvocationExpression
								61 MemberBindingExpression
									61 IdentifierName Invoke
								61 ArgumentList
									61 Argument
										61 SimpleAssignmentExpression
											61 IdentifierName _playbackRate
											61 IdentifierName value",Refactor
"
		64 MethodDeclaration
			64 PredefinedType
			64 ParameterList
				64 Parameter
					64 PredefinedType
			64 ArrowExpressionClause
				64 ConditionalAccessExpression
					64 IdentifierName
					64 InvocationExpression
						64 MemberBindingExpression
							64 IdentifierName
						64 ArgumentList
							64 Argument
								64 SimpleAssignmentExpression
									64 IdentifierName
									64 IdentifierName
","
		64 MethodDeclaration
			64 PredefinedType
			64 ParameterList
				64 Parameter
					64 PredefinedType
			64 ArrowExpressionClause
				64 ConditionalAccessExpression
					64 IdentifierName TimeSought
					64 InvocationExpression
						64 MemberBindingExpression
							64 IdentifierName Invoke
						64 ArgumentList
							64 Argument
								64 SimpleAssignmentExpression
									64 IdentifierName _currentTime
									64 IdentifierName time",Refactor
"
		14 FieldDeclaration
			14 VariableDeclaration
				14 GenericName
					14 TypeArgumentList
						14 IdentifierName
				14 VariableDeclarator
","
		14 FieldDeclaration
			14 VariableDeclaration
				14 GenericName
					14 TypeArgumentList
						14 IdentifierName ErrorModel
				14 VariableDeclarator",Remove
