parsed_smell,parsed_smell_identifiers,message
"
									175 IfStatement
										175 InvocationExpression
											175 SimpleMemberAccessExpression
												175 PredefinedType
												175 IdentifierName
											175 ArgumentList
												175 Argument
													175 IdentifierName
												175 Argument
													175 SimpleMemberAccessExpression
														175 IdentifierName
														175 IdentifierName
												175 Argument
													175 SimpleMemberAccessExpression
														175 IdentifierName
														175 IdentifierName
												175 Argument
													175 DeclarationExpression
														175 IdentifierName
														175 SingleVariableDesignation","
									175 IfStatement
										175 InvocationExpression
											175 SimpleMemberAccessExpression
												175 PredefinedType
												175 IdentifierName TryParse
											175 ArgumentList
												175 Argument
													175 IdentifierName value
												175 Argument
													175 SimpleMemberAccessExpression
														175 IdentifierName NumberStyles
														175 IdentifierName Integer
												175 Argument
													175 SimpleMemberAccessExpression
														175 IdentifierName CultureInfo
														175 IdentifierName InvariantCulture
												175 Argument
													175 DeclarationExpression
														175 IdentifierName var
														175 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									183 IfStatement
										183 InvocationExpression
											183 SimpleMemberAccessExpression
												183 PredefinedType
												183 IdentifierName
											183 ArgumentList
												183 Argument
													183 IdentifierName
												183 Argument
													183 BitwiseOrExpression
														183 SimpleMemberAccessExpression
															183 IdentifierName
															183 IdentifierName
														183 SimpleMemberAccessExpression
															183 IdentifierName
															183 IdentifierName
												183 Argument
													183 SimpleMemberAccessExpression
														183 IdentifierName
														183 IdentifierName
												183 Argument
													183 DeclarationExpression
														183 IdentifierName
														183 SingleVariableDesignation","
									183 IfStatement
										183 InvocationExpression
											183 SimpleMemberAccessExpression
												183 PredefinedType
												183 IdentifierName TryParse
											183 ArgumentList
												183 Argument
													183 IdentifierName value
												183 Argument
													183 BitwiseOrExpression
														183 SimpleMemberAccessExpression
															183 IdentifierName NumberStyles
															183 IdentifierName Float
														183 SimpleMemberAccessExpression
															183 IdentifierName NumberStyles
															183 IdentifierName AllowThousands
												183 Argument
													183 SimpleMemberAccessExpression
														183 IdentifierName CultureInfo
														183 IdentifierName InvariantCulture
												183 Argument
													183 DeclarationExpression
														183 IdentifierName var
														183 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									191 IfStatement
										191 InvocationExpression
											191 SimpleMemberAccessExpression
												191 PredefinedType
												191 IdentifierName
											191 ArgumentList
												191 Argument
													191 IdentifierName
												191 Argument
													191 BitwiseOrExpression
														191 SimpleMemberAccessExpression
															191 IdentifierName
															191 IdentifierName
														191 SimpleMemberAccessExpression
															191 IdentifierName
															191 IdentifierName
												191 Argument
													191 SimpleMemberAccessExpression
														191 IdentifierName
														191 IdentifierName
												191 Argument
													191 DeclarationExpression
														191 IdentifierName
														191 SingleVariableDesignation","
									191 IfStatement
										191 InvocationExpression
											191 SimpleMemberAccessExpression
												191 PredefinedType
												191 IdentifierName TryParse
											191 ArgumentList
												191 Argument
													191 IdentifierName value
												191 Argument
													191 BitwiseOrExpression
														191 SimpleMemberAccessExpression
															191 IdentifierName NumberStyles
															191 IdentifierName Float
														191 SimpleMemberAccessExpression
															191 IdentifierName NumberStyles
															191 IdentifierName AllowThousands
												191 Argument
													191 SimpleMemberAccessExpression
														191 IdentifierName CultureInfo
														191 IdentifierName InvariantCulture
												191 Argument
													191 DeclarationExpression
														191 IdentifierName var
														191 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									199 IfStatement
										199 InvocationExpression
											199 SimpleMemberAccessExpression
												199 PredefinedType
												199 IdentifierName
											199 ArgumentList
												199 Argument
													199 IdentifierName
												199 Argument
													199 BitwiseOrExpression
														199 SimpleMemberAccessExpression
															199 IdentifierName
															199 IdentifierName
														199 SimpleMemberAccessExpression
															199 IdentifierName
															199 IdentifierName
												199 Argument
													199 SimpleMemberAccessExpression
														199 IdentifierName
														199 IdentifierName
												199 Argument
													199 DeclarationExpression
														199 IdentifierName
														199 SingleVariableDesignation","
									199 IfStatement
										199 InvocationExpression
											199 SimpleMemberAccessExpression
												199 PredefinedType
												199 IdentifierName TryParse
											199 ArgumentList
												199 Argument
													199 IdentifierName value
												199 Argument
													199 BitwiseOrExpression
														199 SimpleMemberAccessExpression
															199 IdentifierName NumberStyles
															199 IdentifierName Float
														199 SimpleMemberAccessExpression
															199 IdentifierName NumberStyles
															199 IdentifierName AllowThousands
												199 Argument
													199 SimpleMemberAccessExpression
														199 IdentifierName CultureInfo
														199 IdentifierName InvariantCulture
												199 Argument
													199 DeclarationExpression
														199 IdentifierName var
														199 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
											212 Block","
											212 Block",Either remove or fill this block of code.
"
											223 Block","
											223 Block",Either remove or fill this block of code.
"
									228 IfStatement
										228 InvocationExpression
											228 SimpleMemberAccessExpression
												228 IdentifierName
												228 IdentifierName
											228 ArgumentList
												228 Argument
													228 IdentifierName
												228 Argument
													228 SimpleMemberAccessExpression
														228 IdentifierName
														228 IdentifierName
												228 Argument
													228 SimpleMemberAccessExpression
														228 IdentifierName
														228 IdentifierName
												228 Argument
													228 DeclarationExpression
														228 IdentifierName
														228 SingleVariableDesignation","
									228 IfStatement
										228 InvocationExpression
											228 SimpleMemberAccessExpression
												228 IdentifierName DateTimeOffset
												228 IdentifierName TryParse
											228 ArgumentList
												228 Argument
													228 IdentifierName value
												228 Argument
													228 SimpleMemberAccessExpression
														228 IdentifierName CultureInfo
														228 IdentifierName InvariantCulture
												228 Argument
													228 SimpleMemberAccessExpression
														228 IdentifierName DateTimeStyles
														228 IdentifierName None
												228 Argument
													228 DeclarationExpression
														228 IdentifierName var
														228 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									236 IfStatement
										236 InvocationExpression
											236 SimpleMemberAccessExpression
												236 IdentifierName
												236 IdentifierName
											236 ArgumentList
												236 Argument
													236 IdentifierName
												236 Argument
													236 SimpleMemberAccessExpression
														236 IdentifierName
														236 IdentifierName
												236 Argument
													236 SimpleMemberAccessExpression
														236 IdentifierName
														236 IdentifierName
												236 Argument
													236 DeclarationExpression
														236 IdentifierName
														236 SingleVariableDesignation","
									236 IfStatement
										236 InvocationExpression
											236 SimpleMemberAccessExpression
												236 IdentifierName DateTimeOffset
												236 IdentifierName TryParse
											236 ArgumentList
												236 Argument
													236 IdentifierName value
												236 Argument
													236 SimpleMemberAccessExpression
														236 IdentifierName CultureInfo
														236 IdentifierName InvariantCulture
												236 Argument
													236 SimpleMemberAccessExpression
														236 IdentifierName DateTimeStyles
														236 IdentifierName None
												236 Argument
													236 DeclarationExpression
														236 IdentifierName var
														236 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
									254 IfStatement
										254 InvocationExpression
											254 SimpleMemberAccessExpression
												254 PredefinedType
												254 IdentifierName
											254 ArgumentList
												254 Argument
													254 IdentifierName
												254 Argument
													254 DeclarationExpression
														254 IdentifierName
														254 SingleVariableDesignation","
									254 IfStatement
										254 InvocationExpression
											254 SimpleMemberAccessExpression
												254 PredefinedType
												254 IdentifierName TryParse
											254 ArgumentList
												254 Argument
													254 IdentifierName value
												254 Argument
													254 DeclarationExpression
														254 IdentifierName var
														254 SingleVariableDesignation",Merge this if statement with the enclosing one.
"
				26 IfStatement
					26 LogicalNotExpression
						26 ParenthesizedExpression
							26 IsPatternExpression
								26 ThisExpression
								26 DeclarationPattern
									26 IdentifierName
									26 SingleVariableDesignation","
				26 IfStatement
					26 LogicalNotExpression
						26 ParenthesizedExpression
							26 IsPatternExpression
								26 ThisExpression
								26 DeclarationPattern
									26 IdentifierName MapNode
									26 SingleVariableDesignation",Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
"
				33 LocalDeclarationStatement
					33 VariableDeclaration
						33 IdentifierName
						33 VariableDeclarator
							33 EqualsValueClause
								33 InvocationExpression
									33 SimpleMemberAccessExpression
										33 IdentifierName
										33 IdentifierName
									33 ArgumentList
										33 Argument
											33 IdentifierName
										33 Argument
											33 IdentifierName","
				33 LocalDeclarationStatement
					33 VariableDeclaration
						33 IdentifierName var
						33 VariableDeclarator
							33 EqualsValueClause
								33 InvocationExpression
									33 SimpleMemberAccessExpression
										33 IdentifierName fixedFields
										33 IdentifierName TryGetValue
									33 ArgumentList
										33 Argument
											33 IdentifierName Name
										33 Argument
											33 IdentifierName fixedFieldMap",Remove the unused local variable 'found'.
"
		17 FieldDeclaration
			17 VariableDeclaration
				17 IdentifierName
				17 VariableDeclarator
					17 EqualsValueClause
						17 ObjectCreationExpression
							17 IdentifierName
							17 ArgumentList","
		17 FieldDeclaration
			17 VariableDeclaration
				17 IdentifierName HttpClient
				17 VariableDeclarator
					17 EqualsValueClause
						17 ObjectCreationExpression
							17 IdentifierName HttpClient
							17 ArgumentList",Make '_httpClient' 'readonly'.
"
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName
				15 VariableDeclarator","
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName OpenApiDocument
				15 VariableDeclarator",Make '_document' 'readonly'.
"
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName
				15 VariableDeclarator","
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName OpenApiDocument
				15 VariableDeclarator",Remove this unread private field '_document' or refactor the code to use its value.
"
		16 FieldDeclaration
			16 VariableDeclaration
				16 GenericName
					16 TypeArgumentList
						16 PredefinedType
						16 IdentifierName
				16 VariableDeclarator
					16 EqualsValueClause
						16 ObjectCreationExpression
							16 GenericName
								16 TypeArgumentList
									16 PredefinedType
									16 IdentifierName
							16 ArgumentList","
		16 FieldDeclaration
			16 VariableDeclaration
				16 GenericName
					16 TypeArgumentList
						16 PredefinedType
						16 IdentifierName OpenApiReference
				16 VariableDeclarator
					16 EqualsValueClause
						16 ObjectCreationExpression
							16 GenericName
								16 TypeArgumentList
									16 PredefinedType
									16 IdentifierName OpenApiReference
							16 ArgumentList",Make '_references' 'readonly'.
"
						48 IfStatement
							48 SimpleMemberAccessExpression
								48 IdentifierName
								48 IdentifierName","
						48 IfStatement
							48 SimpleMemberAccessExpression
								48 IdentifierName reference
								48 IdentifierName IsExternal",Merge this if statement with the enclosing one.
"
								50 IfStatement
									50 LogicalNotExpression
										50 InvocationExpression
											50 SimpleMemberAccessExpression
												50 IdentifierName
												50 IdentifierName
											50 ArgumentList
												50 Argument
													50 SimpleMemberAccessExpression
														50 IdentifierName
														50 IdentifierName","
								50 IfStatement
									50 LogicalNotExpression
										50 InvocationExpression
											50 SimpleMemberAccessExpression
												50 IdentifierName _references
												50 IdentifierName ContainsKey
											50 ArgumentList
												50 Argument
													50 SimpleMemberAccessExpression
														50 IdentifierName reference
														50 IdentifierName ExternalResource",Merge this if statement with the enclosing one.
"
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName
				15 VariableDeclarator","
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName OpenApiWorkspace
				15 VariableDeclarator",Make '_workspace' 'readonly'.
"
		16 FieldDeclaration
			16 VariableDeclaration
				16 IdentifierName
				16 VariableDeclarator","
		16 FieldDeclaration
			16 VariableDeclaration
				16 IdentifierName IStreamLoader
				16 VariableDeclarator",Make '_loader' 'readonly'.
"
								45 LocalDeclarationStatement
									45 VariableDeclaration
										45 IdentifierName
										45 VariableDeclarator
											45 EqualsValueClause
												45 AwaitExpression
													45 InvocationExpression
														45 SimpleMemberAccessExpression
															45 IdentifierName
															45 IdentifierName
														45 ArgumentList
															45 Argument
																45 IdentifierName
															45 Argument
																45 IdentifierName","
								45 LocalDeclarationStatement
									45 VariableDeclaration
										45 IdentifierName var
										45 VariableDeclarator
											45 EqualsValueClause
												45 AwaitExpression
													45 InvocationExpression
														45 SimpleMemberAccessExpression
															45 IdentifierName reader
															45 IdentifierName ReadAsync
														45 ArgumentList
															45 Argument
																45 IdentifierName input
															45 Argument
																45 IdentifierName cancellationToken",Complete the task associated to this 'TODO' comment.
,,"Loops should be simplified with ""LINQ"" expressions"
,,Make '_requestBodies' 'readonly'.
,,Remove the unnecessary Boolean literal(s).
,,Drop 'Where' and move the condition into the 'FirstOrDefault'.
,,Remove this unused method parameter 'context'.
"
				44 Parameter
					44 PredefinedType","
				44 Parameter
					44 PredefinedType",Remove this unused method parameter 'context'.
"
					85 Block","
					85 Block",Complete the task associated to this 'TODO' comment.
