parsed_smell,parsed_smell_identifiers,message
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName PodInfoManager
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName PodInfoManager
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName ksQueryClientMock
												 IdentifierName Object
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName containerIdHolderMock
												 IdentifierName Object
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName IPodNameProvider
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression",Deficient
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 IdentifierName PodInfoManager
						 VariableDeclarator
							 EqualsValueClause
								 ObjectCreationExpression
									 IdentifierName PodInfoManager
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName ksQueryClientMock
												 IdentifierName Object
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName containerIdHolderMock
												 IdentifierName Object
										 Argument
											 ArrayCreationExpression
												 ArrayType
													 IdentifierName IPodNameProvider
													 ArrayRankSpecifier
														 OmittedArraySizeExpression
												 ArrayInitializerExpression",Deficient
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
												 Argument
													 NameColon
														 IdentifierName
													 StringLiteralExpression
												 Argument
													 NameColon
														 IdentifierName
													 StringLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName var
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName client
												 IdentifierName AutoSuggestMethod
											 ArgumentList
												 Argument
													 NameColon
														 IdentifierName query
													 StringLiteralExpression
												 Argument
													 NameColon
														 IdentifierName market
													 StringLiteralExpression",Remove
"
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName
										 VariableDeclarator
											 EqualsValueClause
												 InvocationExpression
													 SimpleMemberAccessExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 SimpleMemberAccessExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName
																		 IdentifierName
																	 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 SimpleLambdaExpression
																		 Parameter
																		 EqualsExpression
																			 SimpleMemberAccessExpression
																				 SimpleMemberAccessExpression
																					 IdentifierName
																					 IdentifierName
																				 IdentifierName
																			 SimpleMemberAccessExpression
																				 IdentifierName
																				 IdentifierName
														 IdentifierName
													 ArgumentList
","
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName var
										 VariableDeclarator
											 EqualsValueClause
												 InvocationExpression
													 SimpleMemberAccessExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 SimpleMemberAccessExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName entityData
																		 IdentifierName Entities
																	 IdentifierName Value
																 IdentifierName Where
															 ArgumentList
																 Argument
																	 SimpleLambdaExpression
																		 Parameter
																		 EqualsExpression
																			 SimpleMemberAccessExpression
																				 SimpleMemberAccessExpression
																					 IdentifierName thing
																					 IdentifierName EntityPresentationInfo
																				 IdentifierName EntityScenario
																			 SimpleMemberAccessExpression
																				 IdentifierName EntityScenario
																				 IdentifierName DominantEntity
														 IdentifierName FirstOrDefault
													 ArgumentList",Refactor
"
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName
										 VariableDeclarator
											 EqualsValueClause
												 InvocationExpression
													 SimpleMemberAccessExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 SimpleMemberAccessExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName
																		 IdentifierName
																	 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 SimpleLambdaExpression
																		 Parameter
																		 EqualsExpression
																			 SimpleMemberAccessExpression
																				 SimpleMemberAccessExpression
																					 IdentifierName
																					 IdentifierName
																				 IdentifierName
																			 SimpleMemberAccessExpression
																				 IdentifierName
																				 IdentifierName
														 IdentifierName
													 ArgumentList
","
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName var
										 VariableDeclarator
											 EqualsValueClause
												 InvocationExpression
													 SimpleMemberAccessExpression
														 InvocationExpression
															 SimpleMemberAccessExpression
																 SimpleMemberAccessExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName entityData
																		 IdentifierName Entities
																	 IdentifierName Value
																 IdentifierName Where
															 ArgumentList
																 Argument
																	 SimpleLambdaExpression
																		 Parameter
																		 EqualsExpression
																			 SimpleMemberAccessExpression
																				 SimpleMemberAccessExpression
																					 IdentifierName thing
																					 IdentifierName EntityPresentationInfo
																				 IdentifierName EntityScenario
																			 SimpleMemberAccessExpression
																				 IdentifierName EntityScenario
																				 IdentifierName DominantEntity
														 IdentifierName FirstOrDefault
													 ArgumentList",Refactor
"
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName
										 VariableDeclarator
											 EqualsValueClause
												 AsExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 SimpleMemberAccessExpression
																 SimpleMemberAccessExpression
																	 IdentifierName
																	 IdentifierName
																 IdentifierName
															 IdentifierName
														 ArgumentList
													 IdentifierName
","
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName var
										 VariableDeclarator
											 EqualsValueClause
												 AsExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 SimpleMemberAccessExpression
																 SimpleMemberAccessExpression
																	 IdentifierName entityData
																	 IdentifierName Places
																 IdentifierName Value
															 IdentifierName FirstOrDefault
														 ArgumentList
													 IdentifierName Place",Remove
"
												 LocalDeclarationStatement
													 VariableDeclaration
														 IdentifierName
														 VariableDeclarator
															 EqualsValueClause
																 AsExpression
																	 IdentifierName
																	 IdentifierName
","
												 LocalDeclarationStatement
													 VariableDeclaration
														 IdentifierName var
														 VariableDeclarator
															 EqualsValueClause
																 AsExpression
																	 IdentifierName item
																	 IdentifierName Place",Remove
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 SimpleMemberAccessExpression
													 IdentifierName
													 IdentifierName
												 IdentifierName
											 ArgumentList
												 Argument
													 NameColon
														 IdentifierName
													 StringLiteralExpression
												 Argument
													 NameColon
														 IdentifierName
													 StringLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName var
								 VariableDeclarator
									 EqualsValueClause
										 InvocationExpression
											 SimpleMemberAccessExpression
												 SimpleMemberAccessExpression
													 IdentifierName client
													 IdentifierName Entities
												 IdentifierName Search
											 ArgumentList
												 Argument
													 NameColon
														 IdentifierName query
													 StringLiteralExpression
												 Argument
													 NameColon
														 IdentifierName market
													 StringLiteralExpression",Remove
"
									 IfStatement
										 EqualsExpression
											 SimpleMemberAccessExpression
												 ElementAccessExpression
													 SimpleMemberAccessExpression
														 IdentifierName
														 IdentifierName
													 BracketedArgumentList
														 Argument
															 NumericLiteralExpression
												 IdentifierName
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
","
									 IfStatement
										 EqualsExpression
											 SimpleMemberAccessExpression
												 ElementAccessExpression
													 SimpleMemberAccessExpression
														 IdentifierName issue
														 IdentifierName Errors
													 BracketedArgumentList
														 Argument
															 NumericLiteralExpression
												 IdentifierName SubCode
											 SimpleMemberAccessExpression
												 IdentifierName ErrorSubCode
												 IdentifierName ParameterInvalidValue",Refactor
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 SimpleMemberAccessExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 IdentifierName
													 IdentifierName
												 ArgumentList
													 Argument
														 NameColon
															 IdentifierName
														 StringLiteralExpression
													 Argument
														 NameColon
															 IdentifierName
														 StringLiteralExpression
											 IdentifierName
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName var
								 VariableDeclarator
									 EqualsValueClause
										 SimpleMemberAccessExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 IdentifierName client
													 IdentifierName SpellCheckerAsync
												 ArgumentList
													 Argument
														 NameColon
															 IdentifierName text
														 StringLiteralExpression
													 Argument
														 NameColon
															 IdentifierName mode
														 StringLiteralExpression
											 IdentifierName Result",Remove
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName
								 VariableDeclarator
									 EqualsValueClause
										 StringLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 IdentifierName var
								 VariableDeclarator
									 EqualsValueClause
										 StringLiteralExpression",Refactor
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
","
		 MethodDeclaration
			 IdentifierName ValueTask
			 ParameterList",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 NullableType
					 GenericName
						 TypeArgumentList
							 IdentifierName
							 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 NullableType
					 GenericName
						 TypeArgumentList
							 IdentifierName Theme
							 IdentifierName Task
				 VariableDeclarator",Adjustment
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName EpisodeChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _episode
											 IdentifierName value",Refactor
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName PlayingChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _isPlaying
											 IdentifierName value",Refactor
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName MutedChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _isMuted
											 IdentifierName value",Refactor
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName VolumeChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _volume
											 IdentifierName value",Refactor
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName DurationChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _duration
											 IdentifierName value",Refactor
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName CurrentTimeChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _currentTime
											 IdentifierName value",Refactor
"
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName
											 IdentifierName
","
				 SetAccessorDeclaration
					 ArrowExpressionClause
						 ConditionalAccessExpression
							 IdentifierName PlaybackRateChanged
							 InvocationExpression
								 MemberBindingExpression
									 IdentifierName Invoke
								 ArgumentList
									 Argument
										 SimpleAssignmentExpression
											 IdentifierName _playbackRate
											 IdentifierName value",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 PredefinedType
			 ArrowExpressionClause
				 ConditionalAccessExpression
					 IdentifierName
					 InvocationExpression
						 MemberBindingExpression
							 IdentifierName
						 ArgumentList
							 Argument
								 SimpleAssignmentExpression
									 IdentifierName
									 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 PredefinedType
			 ArrowExpressionClause
				 ConditionalAccessExpression
					 IdentifierName TimeSought
					 InvocationExpression
						 MemberBindingExpression
							 IdentifierName Invoke
						 ArgumentList
							 Argument
								 SimpleAssignmentExpression
									 IdentifierName _currentTime
									 IdentifierName time",Refactor
"
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 IdentifierName ErrorModel
				 VariableDeclarator",Remove
"
		 MethodDeclaration
			 GenericName
				 TypeArgumentList
					 ArrayType
						 IdentifierName
						 ArrayRankSpecifier
							 OmittedArraySizeExpression
			 ParameterList
				 Parameter
					 PredefinedType
				 Parameter
					 NullableType
						 PredefinedType
					 EqualsValueClause
						 NullLiteralExpression
				 Parameter
					 NullableType
						 IdentifierName
					 EqualsValueClause
						 NullLiteralExpression
			 ArrowExpressionClause
","
		 MethodDeclaration
			 GenericName
				 TypeArgumentList
					 ArrayType
						 IdentifierName Show
						 ArrayRankSpecifier
							 OmittedArraySizeExpression
			 ParameterList
				 Parameter
					 PredefinedType
				 Parameter
					 NullableType
						 PredefinedType
					 EqualsValueClause
						 NullLiteralExpression
				 Parameter
					 NullableType
						 IdentifierName Guid
					 EqualsValueClause
						 NullLiteralExpression
			 ArrowExpressionClause",Refactor
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IDisposable",Refactor
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IDisposable",Refactor
"
	 ClassDeclaration
","
	 ClassDeclaration",Deficient
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName IAnalysisContext
			 SimpleBaseType
				 IdentifierName IOptionsProvider",Refactor
"
		 ConstructorDeclaration
			 ParameterList
","
		 ConstructorDeclaration
			 ParameterList",Adjustment
